t=2026-06-01T16:04:01+0530 lvl=info msg="no configuration paths supplied"
t=2026-06-01T16:04:01+0530 lvl=info msg="using configuration at default config path" path=/home/infaira/.config/ngrok/ngrok.yml
t=2026-06-01T16:04:01+0530 lvl=info msg="open config file" path=/home/infaira/.config/ngrok/ngrok.yml err=nil
t=2026-06-01T16:04:01+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-01T16:04:01+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-01T16:04:02+0530 lvl=info msg="update available" obj=updater
t=2026-06-01T16:04:02+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-01T16:04:02+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-01T16:15:06+0530 lvl=info msg="join connections" obj=join id=2d52e0088647 l=127.0.0.1:3000 r=[2a03:2880:10ff:56::]:62320
t=2026-06-01T16:15:06+0530 lvl=info msg="join connections" obj=join id=719973008371 l=127.0.0.1:3000 r=[2a03:2880:10ff:3::]:60272
t=2026-06-01T16:15:06+0530 lvl=info msg="join connections" obj=join id=b58f3ef76eec l=127.0.0.1:3000 r=[2a03:2880:12ff:73::]:37886
t=2026-06-01T16:15:06+0530 lvl=info msg="join connections" obj=join id=b6377a9be26e l=127.0.0.1:3000 r=122.166.122.198:38264
t=2026-06-01T16:15:07+0530 lvl=info msg="join connections" obj=join id=74a54ba46de5 l=127.0.0.1:3000 r=122.166.122.198:51512
t=2026-06-01T16:15:07+0530 lvl=info msg="join connections" obj=join id=e0914fdc5be2 l=127.0.0.1:3000 r=122.166.122.198:38264
t=2026-06-01T16:15:08+0530 lvl=info msg="join connections" obj=join id=8a170f98640b l=127.0.0.1:3000 r=122.166.122.198:38264
t=2026-06-01T16:15:08+0530 lvl=info msg="join connections" obj=join id=2b9ab98d2d17 l=127.0.0.1:3000 r=122.166.122.198:38264
t=2026-06-01T16:15:10+0530 lvl=info msg="join connections" obj=join id=5abd903e3811 l=127.0.0.1:3000 r=122.166.122.198:47652
t=2026-06-01T16:15:37+0530 lvl=info msg="join connections" obj=join id=37e2d8f079ed l=127.0.0.1:3000 r=3.130.192.231:7258
t=2026-06-01T16:15:51+0530 lvl=info msg=start pg=/api/requests/http id=528d63d341a1ae20
t=2026-06-01T16:15:51+0530 lvl=info msg=end pg=/api/requests/http id=528d63d341a1ae20 status=200 dur=31.825581ms
t=2026-06-01T16:16:11+0530 lvl=info msg=start pg=/api/requests/http id=019ed8220948ef5d
t=2026-06-01T16:16:11+0530 lvl=info msg=end pg=/api/requests/http id=019ed8220948ef5d status=200 dur=27.495976ms
t=2026-06-01T16:16:17+0530 lvl=info msg=start pg=/api/requests/http id=f4765f0c5b22e269
t=2026-06-01T16:16:17+0530 lvl=info msg=end pg=/api/requests/http id=f4765f0c5b22e269 status=200 dur=1.736879ms
t=2026-06-01T16:19:36+0530 lvl=info msg="join connections" obj=join id=bc17730ab355 l=127.0.0.1:3000 r=[2a03:2880:10ff:5b::]:54432
t=2026-06-01T16:20:04+0530 lvl=info msg="join connections" obj=join id=717c730b2490 l=127.0.0.1:3000 r=122.166.122.198:51512
t=2026-06-01T16:20:04+0530 lvl=info msg="join connections" obj=join id=ece1f866493d l=127.0.0.1:3000 r=122.166.122.198:51512
t=2026-06-01T16:20:12+0530 lvl=info msg="join connections" obj=join id=e9dcdb91623a l=127.0.0.1:3000 r=[2a03:2880:10ff:45::]:53660
t=2026-06-01T16:20:12+0530 lvl=info msg="join connections" obj=join id=0daa248b4e46 l=127.0.0.1:3000 r=[2a03:2880:10ff:46::]:63530
t=2026-06-01T16:20:12+0530 lvl=info msg="join connections" obj=join id=f59c5bf3b678 l=127.0.0.1:3000 r=[2a03:2880:10ff:5d::]:61042
t=2026-06-01T16:20:14+0530 lvl=info msg="join connections" obj=join id=f2b348544011 l=127.0.0.1:3000 r=[2a03:2880:22ff:46::]:60154
t=2026-06-01T16:20:17+0530 lvl=info msg="join connections" obj=join id=937639cd4195 l=127.0.0.1:3000 r=[2a03:2880:10ff:4a::]:43492
t=2026-06-01T16:20:17+0530 lvl=info msg="join connections" obj=join id=015a15b5d6d0 l=127.0.0.1:3000 r=[2a03:2880:21ff:51::]:62086
t=2026-06-01T16:20:17+0530 lvl=info msg="join connections" obj=join id=654ea58ab6ea l=127.0.0.1:3000 r=[2a03:2880:2ff:c::]:57988
t=2026-06-01T16:20:18+0530 lvl=info msg="join connections" obj=join id=ee1236bb3124 l=127.0.0.1:3000 r=[2a03:2880:10ff:73::]:55646
t=2026-06-01T16:20:20+0530 lvl=info msg="join connections" obj=join id=c44416d55ae9 l=127.0.0.1:3000 r=[2a03:2880:21ff:6::]:47014
t=2026-06-01T16:20:20+0530 lvl=info msg="join connections" obj=join id=c728b68f9504 l=127.0.0.1:3000 r=[2a03:2880:22ff::]:65054
t=2026-06-01T16:20:21+0530 lvl=info msg="join connections" obj=join id=460a8b1557f9 l=127.0.0.1:3000 r=[2a03:2880:22ff:9::]:59964
t=2026-06-01T16:20:23+0530 lvl=info msg="join connections" obj=join id=2a40297ff424 l=127.0.0.1:3000 r=[2a03:2880:10ff:5a::]:58506
t=2026-06-01T16:20:27+0530 lvl=info msg="join connections" obj=join id=ad2877fdc8b5 l=127.0.0.1:3000 r=[2a03:2880:10ff:58::]:45750
t=2026-06-01T16:20:27+0530 lvl=info msg="join connections" obj=join id=f2ca7e05a377 l=127.0.0.1:3000 r=[2a03:2880:10ff:5e::]:61318
t=2026-06-01T16:20:27+0530 lvl=info msg="join connections" obj=join id=0c3ce7f2faeb l=127.0.0.1:3000 r=[2a03:2880:2ff:6::]:42948
t=2026-06-01T16:20:27+0530 lvl=info msg="join connections" obj=join id=69ea719758a0 l=127.0.0.1:3000 r=[2a03:2880:21ff:b::]:60992
t=2026-06-01T16:20:30+0530 lvl=info msg="join connections" obj=join id=377cef584970 l=127.0.0.1:3000 r=[2a03:2880:22ff:46::]:33462
t=2026-06-01T16:20:31+0530 lvl=info msg="join connections" obj=join id=00cee1da3ecb l=127.0.0.1:3000 r=[2a03:2880:10ff:5e::]:61320
t=2026-06-01T16:20:32+0530 lvl=info msg="join connections" obj=join id=2c538dd2321d l=127.0.0.1:3000 r=[2a03:2880:10ff:46::]:63288
t=2026-06-01T16:20:52+0530 lvl=info msg="join connections" obj=join id=a66826444b82 l=127.0.0.1:3000 r=3.18.12.63:54550
t=2026-06-01T16:20:52+0530 lvl=info msg="join connections" obj=join id=354cad0bd03d l=127.0.0.1:3000 r=3.130.192.231:33141
t=2026-06-01T16:20:52+0530 lvl=info msg="join connections" obj=join id=dca4737bd80d l=127.0.0.1:3000 r=52.15.183.38:55607
t=2026-06-01T16:20:52+0530 lvl=info msg="join connections" obj=join id=d645be1ed3b6 l=127.0.0.1:3000 r=3.18.12.63:56196
t=2026-06-01T16:20:55+0530 lvl=info msg="join connections" obj=join id=c6279171812e l=127.0.0.1:3000 r=3.18.12.63:52950
t=2026-06-01T16:20:55+0530 lvl=info msg="join connections" obj=join id=312f4605db64 l=127.0.0.1:3000 r=52.15.183.38:47035
t=2026-06-01T16:20:56+0530 lvl=info msg="join connections" obj=join id=552727d258d4 l=127.0.0.1:3000 r=3.18.12.63:39900
t=2026-06-01T16:20:56+0530 lvl=info msg="join connections" obj=join id=6b1b2b366809 l=127.0.0.1:3000 r=52.15.183.38:58691
t=2026-06-01T16:20:56+0530 lvl=info msg="join connections" obj=join id=45c6059a2d8f l=127.0.0.1:3000 r=3.130.192.231:31710
t=2026-06-01T16:20:56+0530 lvl=info msg="join connections" obj=join id=c04da1af1eca l=127.0.0.1:3000 r=52.15.183.38:24922
t=2026-06-01T16:20:56+0530 lvl=info msg="join connections" obj=join id=ca47ea3f58bc l=127.0.0.1:3000 r=3.130.192.231:32248
t=2026-06-01T16:20:57+0530 lvl=info msg="join connections" obj=join id=b72a4eb9ec08 l=127.0.0.1:3000 r=52.15.183.38:21499
t=2026-06-01T16:20:57+0530 lvl=info msg="join connections" obj=join id=69b60a36feab l=127.0.0.1:3000 r=122.166.122.198:50908
t=2026-06-01T16:20:58+0530 lvl=info msg="join connections" obj=join id=ae3968232551 l=127.0.0.1:3000 r=122.166.122.198:50908
t=2026-06-01T16:20:58+0530 lvl=info msg="join connections" obj=join id=5604f48f00e1 l=127.0.0.1:3000 r=122.166.122.198:50908
t=2026-06-01T16:20:58+0530 lvl=info msg="join connections" obj=join id=a65e8a09b8f0 l=127.0.0.1:3000 r=[2a03:2880:21ff:50::]:51746
t=2026-06-01T16:20:59+0530 lvl=info msg="join connections" obj=join id=94ba973ea33b l=127.0.0.1:3000 r=122.166.122.198:50908
t=2026-06-01T16:20:59+0530 lvl=info msg="join connections" obj=join id=4ac8e4d14c11 l=127.0.0.1:3000 r=122.166.122.198:50908
t=2026-06-01T16:20:59+0530 lvl=info msg="join connections" obj=join id=6afc6437a7bf l=127.0.0.1:3000 r=[2a03:2880:10ff:59::]:34398
t=2026-06-01T16:20:59+0530 lvl=info msg="join connections" obj=join id=dd10debd1e2a l=127.0.0.1:3000 r=[2a03:2880:12ff:9::]:63350
t=2026-06-01T16:21:00+0530 lvl=info msg="join connections" obj=join id=cf95bd455e85 l=127.0.0.1:3000 r=122.166.122.198:50912
t=2026-06-01T16:21:48+0530 lvl=info msg="join connections" obj=join id=56f71a1f40d6 l=127.0.0.1:3000 r=3.130.192.231:57002
t=2026-06-01T16:23:14+0530 lvl=info msg="join connections" obj=join id=537d1fc0e436 l=127.0.0.1:3000 r=122.166.122.198:50908
